UF;CBO Ocupação 2002;CNAE 2.0 Classe;Escolaridade após 2005;Idade;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
MS;142510;10520;                  07;  47;02;6671.25;                  01
MS;142505;82202;                  07;  41;02;2898.00;                  01
MS;212420;62091;                  07;  29;09;1643.00;                  01
MS;212420;62091;                  07;  20;09;1389.78;                  01
MS;212420;62091;                  07;  21;09;1180.00;                  01
MS;317110;47440;                  07;  48;02;6794.00;                  01
MS;212405;82997;                  07;  21;02;1252.00;                  01
MS;317205;47512;                  07;  21;02;1260.00;                  01
MS;317210;47512;                  07;  40;02;1260.00;                  01
MS;317110;61108;                  07;  32;09;1206.00;                  01
MS;212420;61108;                  07;  26;09;1500.00;                  01
MS;317205;86101;                  07;  51;08;2718.93;                  01
MS;212405;61906;                  07;  26;02;1660.05;                  01
MS;317210;62091;                  07;  55;08;14288.59;                  01
MS;317205;62091;                  07;  31;02;1156.00;                  01
MS;317210;62091;                  07;  22;08;1719.00;                  01
MS;317210;62091;                  07;  33;08;1580.37;                  01
MS;317210;62091;                  07;  20;09;1394.44;                  01
MS;317210;62091;                  07;  40;08;2061.78;                  01
MS;317210;62091;                  07;  39;08;1156.00;                  01
MS;212410;41204;                  07;  25;08;673.33;                  01
MS;212420;47890;                  07;  29;04;2184.00;                  01
MS;212420;47890;                  07;  28;04;2414.85;                  01
MS;317210;47512;                  07;  23;09;1825.27;                  01
MS;212415;71120;                  07;  24;09;3500.00;                  01
MS;142530;47598;                  07;  55;09;3085.25;                  01
MS;212420;85317;                  07;  26;09;1688.83;                  01
MS;317110;49116;                  07;  66;08;3744.88;                  01
MS;317110;49116;                  07;  62;02;3505.04;                  01
MS;317110;62091;                  07;  36;08;2562.32;                  01
MS;212410;85503;                  07;  25;02;2259.68;                  01
MS;123605;84116;                  07;  59;99;4486.35;                  01
MS;212420;61108;                  07;  27;02;1800.00;                  01
MS;317205;47717;                  07;  36;08;2314.79;                  01
MS;317210;95118;                  07;  27;02;1665.00;                  01
MS;317110;62023;                  07;  35;08;1235.00;                  01
MS;317110;49213;                  07;  30;08;4512.00;                  01
MS;142530;95118;                  07;  44;09;5029.00;                  01
MS;212310;95118;                  07;  44;09;3197.00;                  01
MS;317210;95118;                  07;  48;09;3105.00;                  01
MS;317210;77390;                  07;  26;08;1184.00;                  01
MS;317205;45111;                  07;  35;08;3400.00;                  01
MS;212405;61108;                  07;  25;08;2200.00;                  01
MS;317110;66193;                  07;  29;02;1600.00;                  01
MS;212420;61108;                  07;  29;08;1350.00;                  01
MS;212420;61108;                  07;  26;08;1350.00;                  01
MS;212420;61108;                  07;  17;08;1350.00;                  01
MS;212315;69117;                  07;  23;09;586.67;                  01
MS;317210;47512;                  07;  22;09;1326.65;                  01
MS;317205;71197;                  07;  35;08;2702.24;                  01
MS;317210;47890;                  07;  25;08;1457.67;                  01
MS;317110;23117;                  07;  26;08;1716.67;                  01
MS;212410;42219;                  07;  44;02;1600.00;                  01
MS;317205;47512;                  07;  28;08;1558.80;                  01
MS;317210;62091;                  07;  30;08;2024.00;                  01
MS;317210;62091;                  07;  21;02;2216.00;                  01
MS;317110;63119;                  07;  39;09;2664.75;                  01
MS;317205;62015;                  07;  41;02;2500.00;                  01
MS;212315;62015;                  07;  33;08;4000.00;                  01
MS;212310;62015;                  07;  35;08;3600.00;                  01
MS;212310;62015;                  07;  31;08;3600.00;                  01
MS;212405;62040;                  07;  34;08;2000.00;                  01
MS;212405;62040;                  07;  32;02;1238.00;                  01
MS;142510;62040;                  07;  31;02;2900.00;                  01
MS;317205;62040;                  07;  29;08;2500.00;                  01
MS;317110;78205;                  07;  23;02;2678.00;                  01
MS;317205;62091;                  07;  39;02;1460.12;                  01
MS;317210;61906;                  07;  19;08;1688.00;                  01
MS;142510;46362;                  07;  44;08;9720.00;                  01
MS;317110;47521;                  07;  25;02;4095.50;                  01
MS;317110;47521;                  07;  23;09;2860.00;                  01
MS;212405;62040;                  07;  23;02;2000.00;                  01
MS;212405;62040;                  07;  25;02;2000.00;                  01
MS;317205;62040;                  07;  21;02;2500.00;                  01
MS;212405;62040;                  07;  30;08;2500.00;                  01
MS;317210;47512;                  07;  30;02;2977.61;                  01
MS;317210;84116;                  07;  31;09;2426.18;                  01
MS;212405;82199;                  07;  27;09;2170.00;                  01
MS;212315;82997;                  07;  41;08;952.14;                  01
MS;142510;95118;                  07;  37;09;3415.00;                  01
MS;317210;95118;                  07;  31;08;2741.71;                  01
MS;317210;95118;                  07;  33;08;2054.00;                  01
MS;317210;95118;                  07;  31;08;2384.00;                  01
MS;142530;95118;                  07;  53;08;3886.00;                  01
MS;123605;47512;                  07;  48;09;3271.00;                  01
MS;212420;82113;                  07;  21;02;2126.70;                  01
MS;212420;95118;                  07;  42;09;3300.00;                  01
MS;317110;70204;                  07;  27;09;3000.00;                  01
MS;317110;70204;                  07;  39;02;3000.00;                  01
MS;317210;47512;                  07;  21;09;1417.78;                  01
MS;317210;47512;                  07;  26;09;1417.78;                  01
MS;212420;84302;                  07;  26;08;4136.71;                  01
MS;212315;49302;                  07;  55;09;2266.67;                  01
MS;317110;84116;                  07;  28;99;3143.10;                  01
MS;317110;84116;                  07;  45;99;7737.56;                  01
MS;212420;47890;                  07;  46;08;1500.00;                  01
MS;317210;84116;                  07;  28;99;2069.76;                  01
MS;317210;85317;                  07;  36;02;1648.44;                  01
MS;212405;45412;                  07;  41;02;5154.19;                  01
MS;142520;86305;                  07;  35;02;6302.79;                  01
MS;317110;62015;                  07;  44;08;3000.00;                  01
MS;317105;61108;                  07;  32;09;3721.33;                  01
MS;142530;61108;                  07;  30;09;1858.14;                  01
MS;212405;47512;                  07;  26;02;2035.31;                  01
MS;317210;47512;                  07;  21;09;1591.87;                  01
MS;212420;47890;                  07;  25;08;1350.00;                  01
MS;317210;84116;                  07;  31;99;2069.76;                  01
MS;212405;63194;                  07;  32;09;2800.00;                  01
MS;142505;61108;                  07;  22;02;1350.00;                  01
MS;317110;84116;                  07;  55;99;4561.72;                  01
MS;212320;49302;                  07;  45;08;3500.00;                  01
MS;212405;62091;                  07;  27;02;2747.00;                  01
MS;212405;62091;                  07;  33;02;3690.00;                  01
MS;212420;62091;                  07;  29;09;2733.24;                  01
MS;212420;62091;                  07;  31;09;2890.00;                  01
MS;212420;62091;                  07;  27;09;2452.00;                  01
MS;212420;62091;                  07;  33;09;3429.00;                  01
MS;212405;62091;                  07;  32;02;7890.00;                  01
MS;317205;62091;                  07;  29;08;1442.99;                  01
MS;317205;47571;                  07;  39;08;2470.40;                  01
MS;317210;62040;                  07;  40;08;3000.00;                  01
MS;212420;47512;                  07;  36;02;2680.06;                  01
MS;212420;47512;                  07;  19;02;1387.23;                  01
MS;212410;63119;                  07;  37;09;2575.00;                  01
MS;142505;47521;                  07;  35;08;4931.69;                  01
MS;212420;62091;                  07;  30;09;4140.00;                  01
MS;212420;62091;                  07;  38;09;4701.54;                  01
MS;142510;62091;                  07;  33;09;10359.00;                  01
MS;212420;62015;                  07;  54;09;5434.00;                  01
MS;212420;62015;                  07;  41;09;2550.81;                  01
MS;317210;84116;                  07;  31;99;2069.76;                  01
MS;317205;61906;                  07;  23;09;1500.00;                  01
MS;317210;61906;                  07;  42;09;2100.00;                  01
MS;142530;61906;                  07;  41;09;3580.00;                  01
MS;212420;69206;                  07;  28;02;3377.54;                  01
MS;317110;47890;                  07;  26;02;2297.00;                  01
MS;212405;10112;                  07;  20;08;1751.00;                  01
MS;317110;86500;                  07;  22;02;1100.00;                  01
MS;212420;62023;                  07;  26;09;2600.00;                  01
MS;212420;62023;                  07;  46;09;2300.00;                  01
MS;317205;62040;                  07;  25;08;2000.00;                  01
MS;317205;62040;                  07;  39;02;2000.00;                  01
MS;212420;62040;                  07;  33;08;4620.00;                  01
MS;212420;47521;                  07;  27;08;2032.88;                  01
MS;142520;61108;                  07;  38;08;4000.00;                  01
MS;317205;84116;                  07;  49;99;3521.76;                  01
MS;317210;62091;                  07;  26;02;2568.00;                  01
MS;317110;62091;                  07;  38;02;3080.20;                  01
MS;317210;62091;                  07;  35;09;1811.20;                  01
MS;212420;62091;                  07;  23;08;2044.77;                  01
MS;212420;62023;                  07;  29;08;2626.38;                  01
MS;317205;62023;                  07;  27;08;1467.18;                  01
MS;212420;62023;                  07;  24;08;3994.83;                  01
MS;317205;62023;                  07;  24;08;2074.85;                  01
MS;317205;62023;                  07;  22;08;1467.18;                  01
MS;212405;62023;                  07;  21;08;3474.61;                  01
MS;212420;62023;                  07;  31;08;5579.45;                  01
MS;317205;62031;                  07;  37;08;1234.00;                  01
MS;317210;62031;                  07;  32;08;2230.29;                  01
MS;317205;62031;                  07;  56;08;1211.48;                  01
MS;317205;62031;                  07;  19;08;699.27;                  01
MS;317210;61108;                  07;  35;02;1616.90;                  01
MS;317210;61108;                  07;  21;02;1581.75;                  01
MS;317210;61108;                  07;  31;08;1259.30;                  01
MS;317210;61108;                  07;  23;02;1529.02;                  01
MS;317210;61108;                  07;  21;09;1500.26;                  01
MS;212420;95118;                  07;  56;02;1350.00;                  01
MS;212405;85121;                  07;  26;09;2914.54;                  01
MS;317110;47440;                  07;  62;02;7169.85;                  01
MS;142505;61108;                  07;  33;09;4013.58;                  01
MS;212410;73190;                  07;  28;09;1100.00;                  01
MS;317205;63992;                  07;  21;08;889.32;                  01
MS;317110;47512;                  07;  35;08;3600.00;                  01
MS;212420;47512;                  07;  32;08;3135.00;                  01
MS;317210;47512;                  07;  27;09;2000.00;                  01
MS;212420;47512;                  07;  30;09;2500.00;                  01
MS;317210;47512;                  07;  28;02;2638.90;                  01
MS;212405;82113;                  07;  40;09;4708.74;                  01
MS;212405;82113;                  07;  35;09;6894.93;                  01
MS;212405;82113;                  07;  35;09;3454.72;                  01
MS;212405;82113;                  07;  31;09;6109.33;                  01
MS;212405;82113;                  07;  24;09;3347.20;                  01
MS;317210;84116;                  07;  38;99;2049.29;                  01
MS;317210;62031;                  07;  41;08;1312.00;                  01
MS;317205;62031;                  07;  24;08;1708.00;                  01
MS;142505;61108;                  07;  23;08;4351.78;                  01
MS;317110;84116;                  07;  36;99;5641.26;                  01
MS;212420;62031;                  07;  22;02;1650.00;                  01
MS;317210;49221;                  07;  36;04;3004.15;                  01
MS;317205;62031;                  07;  31;08;1371.32;                  01
MS;317210;62031;                  07;  25;02;2794.45;                  01
MS;317205;62031;                  07;  32;08;1624.31;                  01
MS;317210;62031;                  07;  23;08;2750.00;                  01
MS;317210;62031;                  07;  24;08;2812.00;                  01
MS;212405;62031;                  07;  39;08;7364.00;                  01
